blub_idfs;id;year;date_from;date_to;championship;city;country;event_date;event_time_from;event_time_to;event_title
515;3253;2005;08.04.05;17.04.05;ISSF World Cup Changwon in all events;Changwon;KOR;10.04.05;14:30:00;15:00:00;Final 10m Air Rifle Men
515;3259;2005;08.04.05;17.04.05;ISSF World Cup Changwon in all events;Changwon;KOR;10.04.05;17:00:00;17:30:00;Final Trap Women
515;3262;2005;08.04.05;17.04.05;ISSF World Cup Changwon in all events;Changwon;KOR;11.04.05;15:05:00;15:35:00;Final 10m Air Rifle Women
515;3264;2005;08.04.05;17.04.05;ISSF World Cup Changwon in all events;Changwon;KOR;10.04.05;13:00:00;13:30:00;Final 50m Pistol Men
515;3266;2005;08.04.05;17.04.05;ISSF World Cup Changwon in all events;Changwon;KOR;11.04.05;13:30:00;14:30:00;Final 25m Pistol Women
515;3271;2005;08.04.05;17.04.05;ISSF World Cup Changwon in all events;Changwon;KOR;11.04.05;16:30:00;17:00:00;Final Trap Men
515;3275;2005;08.04.05;17.04.05;ISSF World Cup Changwon in all events;Changwon;KOR;12.04.05;15:05:00;15:35:00;Final 10m Air Pistol Men
515;3277;2005;08.04.05;17.04.05;ISSF World Cup Changwon in all events;Changwon;KOR;12.04.05;13:30:00;14:00:00;Final 50m Rifle Prone Men 
515;3284;2005;08.04.05;17.04.05;ISSF World Cup Changwon in all events;Changwon;KOR;13.04.05;13:00:00;13:30:00;Final 50m Rifle 3 Positions Women 
515;3285;2005;08.04.05;17.04.05;ISSF World Cup Changwon in all events;Changwon;KOR;13.04.05;14:30:00;15:00:00;Final 10m Air Pistol Women
515;3287;2005;08.04.05;17.04.05;ISSF World Cup Changwon in all events;Changwon;KOR;13.04.05;16:30:00;17:00:00;Final Double Trap Men 
515;3289;2005;08.04.05;17.04.05;ISSF World Cup Changwon in all events;Changwon;KOR;14.04.05;16:00:00;17:00:00;Final 25m Rapid Fire Pistol Men
515;3293;2005;08.04.05;17.04.05;ISSF World Cup Changwon in all events;Changwon;KOR;15.04.05;14:30:00;15:00:00;Final 50m Rifle 3 Positions Men
515;3296;2005;08.04.05;17.04.05;ISSF World Cup Changwon in all events;Changwon;KOR;15.04.05;17:00:00;17:30:00;Final Skeet Women
515;3297;2005;08.04.05;17.04.05;ISSF World Cup Changwon in all events;Changwon;KOR;16.04.05;16:00:00;16:30:00;Final Skeet Men
516;3114;2005;14.07.05;21.07.05;ISSF World Cup Belgrade in shotgun;Belgrade;SCG;17.07.05;13:00:00;13:00:00;Final Skeet Women 
516;3115;2005;14.07.05;21.07.05;ISSF World Cup Belgrade in shotgun;Belgrade;SCG;17.07.05;13:45:00;13:45:00;Final Trap Women
516;3120;2005;14.07.05;21.07.05;ISSF World Cup Belgrade in shotgun;Belgrade;SCG;18.07.05;16:00:00;16:00:00;Final Skeet Men
516;3121;2005;14.07.05;21.07.05;ISSF World Cup Belgrade in shotgun;Belgrade;SCG;18.07.05;16:45:00;16:45:00;Final Trap Men
516;3125;2005;14.07.05;21.07.05;ISSF World Cup Belgrade in shotgun;Belgrade;SCG;20.07.05;15:30:00;15:30:00;Final Double Trap Men
517;3204;2005;07.05.05;15.05.05;ISSF World Cup Ft. Benning in rifle and pistol;Fort Benning, GA;USA;09.05.05;13:00:00;13:00:00;Final 10m Air Rifle Women
517;3209;2005;07.05.05;15.05.05;ISSF World Cup Ft. Benning in rifle and pistol;Fort Benning, GA;USA;10.05.05;12:00:00;12:00:00;Final 50m Pistol Men
517;3215;2005;07.05.05;15.05.05;ISSF World Cup Ft. Benning in rifle and pistol;Fort Benning, GA;USA;11.05.05;11:15:00;11:15:00;Final 50m Rifle Prone Men
517;3217;2005;07.05.05;15.05.05;ISSF World Cup Ft. Benning in rifle and pistol;Fort Benning, GA;USA;11.05.05;13:00:00;13:00:00;Final 25m Pistol Women
517;3220;2005;07.05.05;15.05.05;ISSF World Cup Ft. Benning in rifle and pistol;Fort Benning, GA;USA;11.05.05;14:00:00;14:00:00;Final 10m Air Pistol Men
517;3225;2005;07.05.05;15.05.05;ISSF World Cup Ft. Benning in rifle and pistol;Fort Benning, GA;USA;12.05.05;12:15:00;12:15:00;Final 50m Rifle 3 Positions Women
517;3229;2005;07.05.05;15.05.05;ISSF World Cup Ft. Benning in rifle and pistol;Fort Benning, GA;USA;12.05.05;14:00:00;14:00:00;Final 10m Air Rifle Men
517;3233;2005;07.05.05;15.05.05;ISSF World Cup Ft. Benning in rifle and pistol;Fort Benning, GA;USA;13.05.05;13:00:00;13:00:00;Final 10m Air Pistol Women
517;3239;2005;07.05.05;15.05.05;ISSF World Cup Ft. Benning in rifle and pistol;Fort Benning, GA;USA;14.05.05;13:50:00;13:50:00;Final 50m Rifle 3 Positions Men 
517;3241;2005;07.05.05;15.05.05;ISSF World Cup Ft. Benning in rifle and pistol;Fort Benning, GA;USA;14.05.05;14:45:00;14:45:00;Final 25m Rapid Fire Pistol Men
518;3175;2005;06.06.05;13.06.05;ISSF World Cup Munich in rifle and pistol;Munich ;GER;09.06.05;14:00:00;14:00:00;Final 50m Rifle Prone Men
518;3176;2005;06.06.05;13.06.05;ISSF World Cup Munich in rifle and pistol;Munich ;GER;09.06.05;13:00:00;13:00:00;Final 50m Pistol Men
518;3177;2005;06.06.05;13.06.05;ISSF World Cup Munich in rifle and pistol;Munich ;GER;09.06.05;15:00:00;15:00:00;Final 25m Pistol Women
518;3182;2005;06.06.05;13.06.05;ISSF World Cup Munich in rifle and pistol;Munich ;GER;10.06.05;14:00:00;14:00:00;Final 50m Rifle 3 Positions Women
518;3184;2005;06.06.05;13.06.05;ISSF World Cup Munich in rifle and pistol;Munich ;GER;11.06.05;12:30:00;12:30:00;Final 10m Air Rifle Women
518;3186;2005;06.06.05;13.06.05;ISSF World Cup Munich in rifle and pistol;Munich ;GER;11.06.05;13:30:00;13:30:00;Final 50m Rifle 3 Positions Men
518;3188;2005;06.06.05;13.06.05;ISSF World Cup Munich in rifle and pistol;Munich ;GER;11.06.05;14:30:00;14:30:00;Final 10m Air Pistol Women
518;3190;2005;06.06.05;13.06.05;ISSF World Cup Munich in rifle and pistol;Munich ;GER;11.06.05;15:30:00;15:30:00;Final 25m Rapid Fire Pistol 
518;3192;2005;06.06.05;13.06.05;ISSF World Cup Munich in rifle and pistol;Munich ;GER;12.06.05;15:00:00;15:00:00;Final 10m Air Pistol Men
518;3194;2005;06.06.05;13.06.05;ISSF World Cup Munich in rifle and pistol;Munich ;GER;12.06.05;16:00:00;16:00:00;Final 10m Air Rifle Men
520;3357;2005;13.06.05;20.06.05;ISSF World Cup Milan in rifle and pistol;Milan;ITA;15.06.05;14:00:00;14:00:00;Final 10m Air Pistol Women
520;3359;2005;13.06.05;20.06.05;ISSF World Cup Milan in rifle and pistol;Milan;ITA;16.06.05;14:00:00;14:00:00;Final 50m Rifle Prone Men
520;3361;2005;13.06.05;20.06.05;ISSF World Cup Milan in rifle and pistol;Milan;ITA;16.06.05;15:00:00;15:00:00;Final 50m Rifle 3 Positions Women 
520;3364;2005;13.06.05;20.06.05;ISSF World Cup Milan in rifle and pistol;Milan;ITA;16.06.05;16:00:00;16:00:00;Final 10m Air Pistol Men
520;3367;2005;13.06.05;20.06.05;ISSF World Cup Milan in rifle and pistol;Milan;ITA;17.06.05;16:30:00;16:30:00;Final 25m Pistol Women 
520;3370;2005;13.06.05;20.06.05;ISSF World Cup Milan in rifle and pistol;Milan;ITA;17.06.05;14:30:00;14:30:00;Final 10m Air Rifle Men
520;3378;2005;13.06.05;20.06.05;ISSF World Cup Milan in rifle and pistol;Milan;ITA;18.06.05;14:30:00;14:30:00;Final 10m Air Rifle Women
520;3380;2005;13.06.05;20.06.05;ISSF World Cup Milan in rifle and pistol;Milan;ITA;19.06.05;14:30:00;14:30:00;Final 50m Rifle 3 Positions Men ;
520;3382;2005;13.06.05;20.06.05;ISSF World Cup Milan in rifle and pistol;Milan;ITA;19.06.05;13:30:00;13:30:00;Final 50m Pistol Men;
520;3384;2005;13.06.05;20.06.05;ISSF World Cup Milan in rifle and pistol;Milan;ITA;19.06.05;16:30:00;16:30:00;Final 25m Rapid Fire Pistol Men ;
521;3066;2005;16.05.05;23.05.05;ISSF World Cup Rome in shotgun;Rome;ITA;18.05.05;14:30:00;;Final Double Trap Men;
521;3079;2005;16.05.05;23.05.05;ISSF World Cup Rome in shotgun;Rome;ITA;22.05.05;12:30:00;13:00:00;Final Skeet Men;
521;3080;2005;16.05.05;23.05.05;ISSF World Cup Rome in shotgun;Rome;ITA;22.05.05;13:30:00;14:00:00;Final Trap Men;
521;3081;2005;16.05.05;23.05.05;ISSF World Cup Rome in shotgun;Rome;ITA;21.05.05;16:00:00;16:30:00;Final Skeet Women;
521;3082;2005;16.05.05;23.05.05;ISSF World Cup Rome in shotgun;Rome;ITA;21.05.05;17:00:00;17:30:00;Final Trap Women;
522;3093;2005;05.08.05;14.08.05;ISSF World Cup Americana in shotgun;Americana;BRA;09.08.05;;;Final Trap Women; 
522;3094;2005;05.08.05;14.08.05;ISSF World Cup Americana in shotgun;Americana;BRA;12.08.05;;;Final Skeet Women; 
522;3096;2005;05.08.05;14.08.05;ISSF World Cup Americana in shotgun;Americana;BRA;13.08.05;;;Final Skeet Men;
522;3098;2005;05.08.05;14.08.05;ISSF World Cup Americana in shotgun;Americana;BRA;10.08.05;;;Final Trap Men ;
522;3103;2005;05.08.05;14.08.05;ISSF World Cup Americana in shotgun;Americana;BRA;07.08.05;;;Final Double Trap Men;
523;3419;2005;23.08.05;28.08.05;ISSF World Cup Final Munich in rifle and pistol;Munich ;GER;25.08.05;13:30:00;13:30:00;Final 50m Pistol Men;
523;3420;2005;23.08.05;28.08.05;ISSF World Cup Final Munich in rifle and pistol;Munich ;GER;25.08.05;14:30:00;14:30:00;Final 50m Rifle 3 Positions Men; 
523;3421;2005;23.08.05;28.08.05;ISSF World Cup Final Munich in rifle and pistol;Munich ;GER;25.08.05;15:30:00;15:30:00;Final 50m Rifle 3 Positions Women;
523;3422;2005;23.08.05;28.08.05;ISSF World Cup Final Munich in rifle and pistol;Munich ;GER;26.08.05;12:00:00;12:00:00;Final 50m Rifle Prone Men
523;3423;2005;23.08.05;28.08.05;ISSF World Cup Final Munich in rifle and pistol;Munich ;GER;26.08.05;14:30:00;14:30:00;Final 25m Pistol Women
523;3424;2005;23.08.05;28.08.05;ISSF World Cup Final Munich in rifle and pistol;Munich ;GER;26.08.05;15:30:00;15:30:00;Final 25m Rapid Fire Pistol Men
523;3425;2005;23.08.05;28.08.05;ISSF World Cup Final Munich in rifle and pistol;Munich ;GER;27.08.05;10:30:00;10:30:00;Final 10m Air Pistol Women
523;3426;2005;23.08.05;28.08.05;ISSF World Cup Final Munich in rifle and pistol;Munich ;GER;27.08.05;11:30:00;11:30:00;Final 10m Air Rifle Women
523;3427;2005;23.08.05;28.08.05;ISSF World Cup Final Munich in rifle and pistol;Munich ;GER;27.08.05;12:30:00;12:30:00;Final 10m Air Rifle Men
523;3428;2005;23.08.05;28.08.05;ISSF World Cup Final Munich in rifle and pistol;Munich ;GER;27.08.05;13:30:00;13:30:00;Final 10m Air Pistol Men
524;3133;2005;19.11.05;25.11.05;ISSF World Cup Final Dubai in shotgun;Dubai;UAE;21.11.05;;;Final Trap Women
524;3134;2005;19.11.05;25.11.05;ISSF World Cup Final Dubai in shotgun;Dubai;UAE;21.11.05;;;Final Skeet Women
524;3139;2005;19.11.05;25.11.05;ISSF World Cup Final Dubai in shotgun;Dubai;UAE;22.11.05;;;Final Trap Men
524;3140;2005;19.11.05;25.11.05;ISSF World Cup Final Dubai in shotgun;Dubai;UAE;22.11.05;;;Final Skeet Men
524;3145;2005;19.11.05;25.11.05;ISSF World Cup Final Dubai in shotgun;Dubai;UAE;24.11.05;;;Final Double Trap Men
526;3032;2005;24.05.05;31.05.05;ISSF World Championships Lonato in shotgun;Lonato;ITA;26.05.05;17:00:00;17:00:00;FinalDouble Trap Men 
526;3039;2005;24.05.05;31.05.05;ISSF World Championships Lonato in shotgun;Lonato;ITA;29.05.05;17:15:00;17:15:00;Final Trap Women
526;3052;2005;24.05.05;31.05.05;ISSF World Championships Lonato in shotgun;Lonato;ITA;29.05.05;16:30:00;16:30:00;Final Skeet Women
526;3053;2005;24.05.05;31.05.05;ISSF World Championships Lonato in shotgun;Lonato;ITA;30.05.05;17:30:00;17:30:00;Final Trap Men
526;3054;2005;24.05.05;31.05.05;ISSF World Championships Lonato in shotgun;Lonato;ITA;30.05.05;16:00:00;16:00:00;Final Skeet Men